Course_ID,Course_Name,Category,Duration (hours),Enrolled_Students,Completion_Rate (%),Platform,Price ($),Rating (out of 5),percentage
55,Course_55,Marketing,71,3016,6.990.539.171.030.040,Udemy,12.001.321.956.784.000,3.176.198.778.281.810,"0,00%"
56,Course_56,Finance,55,3208,6.209.484.836.654.860,Udemy,1.765.106.664.790.950,30.237.455.565.824.700,"0,00%"
57,Course_57,AI,15,317,6.818.230.828.934.140,LinkedIn Learning,5.157.318.853.526.430,4.567.354.802.162.730,"0,00%"
58,Course_58,Finance,19,913,8.756.453.772.138.060,Coursera,19.312.089.535.816.600,4.166.978.525.342.660,"0,00%"
59,Course_59,Office Tools,27,4472,9.909.924.174.258.920,Coursera,1.310.414.690.344.310,4.975.869.356.685.030,"0,00%"
60,Course_60,Programming,42,779,5.312.773.058.479.940,LinkedIn Learning,14.759.900.956.281.300,4.460.156.901.101.480,"0,00%"
61,Course_61,Data Science,27,304,6.431.105.689.866.000,Udemy,13.272.638.033.725.600,4.122.075.007.099.850,"0,00%"
62,Course_62,Office Tools,51,572,5.828.309.658.728.740,edX,6.608.651.922.374.470,32.227.672.214.031.100,"0,00%"
63,Course_63,AI,54,2328,57.155.188.625.450.700,Coursera,12.425.958.702.212.500,30.996.994.113.923.400,"0,00%"
64,Course_64,Data Science,67,4328,819.820.825.940.256,LinkedIn Learning,7.304.622.646.384.090,446.837.743.321.438,"0,00%"
65,Course_65,Technology,45,4801,5.473.809.507.864.620,Coursera,22.414.205.177.021.300,31.601.362.888.687.400,"0,00%"
66,Course_66,Data Science,14,1853,5.677.570.477.853.540,Udemy,196.955.892.674.005,30.059.788.264.741.700,"0,00%"
67,Course_67,Design,87,2859,558.178.434.074.934,Udemy,10.122.861.497.735.200,4.059.702.778.713.410,"0,00%"
68,Course_68,Business,56,899,7.204.090.645.007.600,edX,743.334.595.724.686,4.868.495.386.534.070,"0,00%"
69,Course_69,Office Tools,14,3252,6.749.733.214.304.530,Udemy,11.295.327.342.019.900,4.160.689.047.781.420,"0,00%"
70,Course_70,Technology,19,4683,7.461.792.959.884.550,Udemy,19.847.397.366.071.900,30.675.652.250.129.800,"0,00%"
71,Course_71,Programming,41,1280,9.124.667.106.206.060,Udemy,5.221.828.638.725.430,3.556.144.906.672.680,"0,00%"
72,Course_72,AI,39,1893,8.943.617.175.692.890,LinkedIn Learning,11.488.595.578.771.600,452.013.554.657.571,"0,00%"
73,Course_73,Office Tools,27,3265,7.374.302.503.332.080,Udemy,11.852.800.513.478.600,3.093.968.685.287.440,"0,00%"
74,Course_74,Office Tools,23,3617,9.517.825.852.465.780,Udemy,161.534.686.156.695,4.653.587.761.377.750,"0,00%"
75,Course_75,Business,62,2638,5.377.898.816.609.260,LinkedIn Learning,16.745.296.714.257.600,3.125.450.728.857.820,"0,00%"
76,Course_76,Business,87,2878,7.893.830.250.292.600,LinkedIn Learning,16.146.405.053.011.800,36.824.696.283.687.900,"0,00%"
77,Course_77,Marketing,32,815,9.564.611.928.617.560,Coursera,1.840.420.407.739.760,32.983.261.815.364.100,"0,00%"
78,Course_78,Business,74,3650,51.242.066.828.335.700,edX,9.123.483.710.423.220,3.765.377.514.484.840,"0,00%"
79,Course_79,Office Tools,26,955,9.292.002.808.554.980,LinkedIn Learning,7.150.689.392.555.900,31.700.367.255.610.900,"0,00%"
80,Course_80,Business,27,426,8.311.585.271.204.130,LinkedIn Learning,49.684.226.362.801,4.224.056.805.207.780,"0,00%"
81,Course_81,Office Tools,42,3324,5.616.676.688.866.570,Udemy,30.301.925.423.937.900,4.851.885.653.674.130,"0,00%"
82,Course_82,AI,84,2244,5.121.694.081.463.180,Coursera,15.166.341.960.871.600,31.287.752.723.235.500,"0,00%"
83,Course_83,Office Tools,15,2588,9.579.030.656.781.730,LinkedIn Learning,6.544.758.432.684.250,4.578.414.119.172.460,"0,00%"
84,Course_84,Technology,28,4011,5.338.609.386.403.330,LinkedIn Learning,1.954.840.965.544.450,32.701.061.877.568.400,"0,00%"
85,Course_85,Technology,95,2161,9.101.238.118.940.280,LinkedIn Learning,1.476.769.770.411.260,3.786.933.026.560.870,"0,00%"
86,Course_86,Technology,61,3161,58.914.775.091.569,edX,40.305.978.430.430.000,3.336.888.660.634.120,"0,00%"
87,Course_87,Marketing,53,197,6.700.420.056.770.800,LinkedIn Learning,12.944.945.232.832.300,3.895.033.887.644.150,"0,00%"
88,Course_88,Data Science,67,2896,7.509.362.259.189.970,edX,10.742.428.432.947.500,34.884.335.751.871.600,"0,00%"
89,Course_89,Design,65,935,53.416.446.735.575,LinkedIn Learning,13.427.931.392.343.100,3.479.145.049.932.580,"0,00%"
90,Course_90,Data Science,42,3372,5.635.506.929.264.860,Coursera,4.109.502.688.237.790,34.114.201.609.917.300,"0,00%"
91,Course_91,Design,88,3178,868.962.675.975.259,LinkedIn Learning,15.135.388.990.420.400,4.578.316.113.063.250,"0,00%"
92,Course_92,Office Tools,63,141,5.570.280.173.056.030,Udemy,4.850.749.427.184.320,4.241.782.535.818.150,"0,00%"
93,Course_93,Finance,14,4684,6.912.926.762.969.530,Coursera,18.693.014.527.327.000,4.209.773.931.132.480,"0,00%"
94,Course_94,Technology,79,2778,7.540.448.713.667.960,Udemy,19.969.123.723.445.100,36.152.275.449.588.900,"0,00%"
95,Course_95,Technology,67,1458,9.309.349.010.568.450,edX,1.612.504.069.176.670,4.424.960.316.426.290,"0,00%"
96,Course_96,Programming,42,3052,5.295.943.768.327.660,Coursera,16.183.985.350.317.600,3.259.498.222.096.820,"0,00%"
97,Course_97,Business,57,4616,6.261.495.212.756.290,LinkedIn Learning,14.047.254.043.615.100,35.115.121.221.342.400,"0,00%"
98,Course_98,Design,49,2299,8.831.334.013.502.830,Coursera,4.596.751.996.129.690,3.114.104.661.799.760,"0,00%"
99,Course_99,Design,54,4170,5.134.839.358.195.030,edX,19.318.524.319.281.600,4.043.212.954.321.630,"0,00%"
100,Course_100,Marketing,22,4607,5.133.333.659.272.990,Coursera,16.678.032.577.375.500,41.664.086.487.161.700,"0,00%"
101,Course_101,Design,21,259,5.662.113.389.594.450,Udemy,9.932.185.685.346.830,4.669.390.618.564.640,"0,00%"
102,Course_102,AI,77,861,8.321.504.148.038.060,Coursera,1.454.357.940.491.780,3.043.884.369.779.070,"0,00%"
103,Course_103,Programming,25,121,9.354.887.338.184.540,LinkedIn Learning,13.114.582.756.418.300,33.073.331.137.533.900,"0,00%"
104,Course_104,Technology,78,1212,943.099.441.717.272,Coursera,14.002.354.258.799.800,39.181.606.672.240.600,"0,00%"
105,Course_105,Data Science,47,690,7.147.595.066.067.220,edX,4.422.552.402.575.690,4.682.054.285.232.670,"0,00%"
106,Course_106,Finance,44,3237,868.551.841.089.677,edX,1.428.924.571.341.920,37.869.840.976.788.800,"0,00%"
107,Course_107,Programming,77,1574,9.564.107.025.248.140,LinkedIn Learning,9.371.306.219.285.120,4.910.382.826.978.910,"0,00%"
108,Course_108,Design,48,4524,8.222.701.242.211.660,Udemy,1.792.380.733.542.840,4.433.493.870.042.920,"0,00%"
109,Course_109,Technology,66,3572,9.182.841.303.336.660,LinkedIn Learning,567.155.880.059.053,4.413.442.672.307.030,"0,00%"
110,Course_110,Programming,54,1295,756.768.363.894.456,LinkedIn Learning,2.585.817.144.636.980,4.364.716.177.682.330,"0,00%"
111,Course_111,Data Science,42,2073,823.448.647.854.577,LinkedIn Learning,10.091.472.621.394.600,3.706.579.019.624.980,"0,00%"
112,Course_112,Programming,100,2615,681.466.905.735.165,Coursera,9.645.921.533.141.380,497.969.627.080.831,"0,00%"
113,Course_113,Marketing,40,4146,5.273.829.949.424.760,edX,14.793.882.440.451.200,3.553.850.880.905.980,"0,00%"
114,Course_114,Finance,45,2044,8.326.809.673.365.600,Coursera,19.603.566.730.181.300,4.953.115.581.880.220,"0,00%"
115,Course_115,Finance,36,1012,882.721.469.726.992,Coursera,22.678.527.347.978.100,4.699.792.163.726.200,"0,00%"
116,Course_116,AI,48,3947,9.074.142.694.722.530,Coursera,4.567.403.425.129.790,32.726.935.116.473.400,"0,00%"
117,Course_117,Technology,98,185,9.849.950.249.960.490,LinkedIn Learning,7.751.620.906.047.810,4.795.083.063.002.900,"0,00%"
118,Course_118,Programming,95,2338,6.321.880.119.928.020,LinkedIn Learning,1.665.038.081.497.360,4.979.051.887.112.950,"0,00%"
119,Course_119,Technology,51,682,64.601.310.855.949,Udemy,5.006.485.857.685.160,3.015.588.504.507.920,"0,00%"
120,Course_120,Office Tools,51,3854,53.172.339.634.819.100,Coursera,1.719.066.717.968.280,484.216.082.252.329,"0,00%"
121,Course_121,Business,76,3164,774.000.287.206.085,edX,6.872.902.874.456.740,48.963.335.563.798.200,"0,00%"
122,Course_122,Office Tools,23,2587,7.388.019.264.938.970,Udemy,14.653.805.399.249.200,40.619.013.806.197.300,"0,00%"
123,Course_123,Data Science,73,3293,9.332.625.153.637.810,Coursera,5.293.608.095.989.110,30.204.666.015.658.700,"0,00%"
124,Course_124,Business,93,2492,9.876.582.376.848.910,edX,18.727.063.575.543.500,4.741.613.708.531.260,"0,00%"
125,Course_125,Office Tools,72,3288,7.675.718.432.462.030,Coursera,1.358.054.933.889.450,42.196.292.293.439.100,"0,00%"
126,Course_126,Finance,27,4896,689.812.067.729.224,Coursera,12.605.595.920.417.900,4.575.146.020.849.660,"0,00%"
127,Course_127,Programming,34,4720,7.759.493.253.142.580,Udemy,58.205.993.136.636.100,4.436.427.029.029.340,"0,00%"
128,Course_128,Programming,28,3699,7.748.328.867.055.120,Udemy,1.899.778.561.125.000,4.577.650.084.634.690,"0,00%"
129,Course_129,Office Tools,14,1769,9.771.002.486.916.010,Coursera,3.659.181.349.354.400,31.794.468.889.035.400,"0,00%"
130,Course_130,Office Tools,24,4708,6.573.976.376.219.160,Udemy,11.164.111.588.787.000,475.632.154.173.713,"0,00%"
131,Course_131,Business,29,932,5.514.379.988.862.750,edX,6.891.111.899.850.840,4.602.638.015.130.970,"0,00%"
132,Course_132,Marketing,63,1184,60.994.775.696.307.100,edX,15.588.248.490.546.600,42.377.611.251.105.100,"0,00%"
133,Course_133,Design,17,4875,943.303.632.109.777,edX,3.399.094.812.053.450,4.126.644.066.313.810,"0,00%"
134,Course_134,Finance,86,1418,7.004.398.796.955.500,Coursera,15.699.809.796.017.500,3.897.254.674.465.300,"0,00%"
135,Course_135,Marketing,21,2963,6.171.314.990.632.210,LinkedIn Learning,1.840.299.691.318.520,4.426.684.618.922.280,"0,00%"
136,Course_136,Technology,98,2718,8.103.872.065.263.160,LinkedIn Learning,39.888.611.729.840.200,35.197.138.989.807.100,"0,00%"
137,Course_137,Business,86,540,60.598.456.978.611.500,Coursera,11.543.202.796.950.900,433.797.236.552.176,"0,00%"
138,Course_138,AI,13,118,6.656.866.810.591.540,LinkedIn Learning,1.738.272.375.590.250,34.992.439.659.580.500,"0,00%"
139,Course_139,Business,83,497,6.469.643.351.812.920,LinkedIn Learning,15.183.830.280.262.900,4.372.447.071.442.670,"0,00%"
140,Course_140,AI,54,3873,6.756.335.328.729.830,Udemy,4.889.951.908.413.920,41.810.016.716.913.000,"0,00%"
141,Course_141,Design,94,3599,9.728.339.694.377.580,Udemy,7.828.145.975.200.280,4.419.124.494.475.800,"0,00%"
142,Course_142,Office Tools,94,2987,7.109.394.210.687.460,Udemy,6.959.067.443.708.380,4.678.863.132.315.160,"0,00%"
143,Course_143,Design,58,555,696.611.893.129.325,LinkedIn Learning,15.872.628.804.329.700,33.060.303.954.359.100,"0,00%"
144,Course_144,Finance,42,4539,5.160.009.652.222.860,LinkedIn Learning,27.475.583.986.948.600,3.306.209.244.384.400,"0,00%"
145,Course_145,Programming,19,4832,5.810.798.125.429.160,edX,3.296.876.480.806.860,4.677.687.274.054.950,"0,00%"
146,Course_146,Design,27,3361,8.861.680.382.992.790,edX,192.844.317.217.836,4.288.321.078.275.500,"0,00%"
147,Course_147,Finance,81,3612,859.504.895.038.976,Udemy,11.526.902.742.999.200,4.905.309.717.346.730,"0,00%"
148,Course_148,Finance,37,734,95.347.768.567.135,Udemy,12.629.476.580.880.100,47.781.422.206.555.100,"0,00%"
149,Course_149,Finance,68,3540,58.594.695.050.650.400,edX,19.031.437.004.784.100,4.239.789.196.566.210,"0,00%"
150,Course_150,Technology,76,2521,6.390.052.427.723.560,Udemy,13.558.324.850.977.800,3.429.091.403.784.040,"0,00%"
151,Course_151,Business,79,226,7.137.510.246.140.510,edX,11.369.937.506.896.900,4.481.084.255.455.420,"0,00%"
152,Course_152,Programming,42,4090,526.500.494.690.641,LinkedIn Learning,8.609.675.626.479.810,484.316.531.532.377,"0,00%"
153,Course_153,AI,51,231,8.807.824.809.129.550,Udemy,10.218.100.102.913.500,34.499.334.862.606.500,"0,00%"
154,Course_154,Design,83,1418,8.252.159.440.026.710,edX,13.915.357.805.693.300,4.851.119.616.679.980,"0,00%"
155,Course_155,Business,77,4134,7.478.977.640.345.040,Coursera,1.424.713.849.139.520,4.482.171.257.648.670,"0,00%"
156,Course_156,Technology,48,3695,8.888.699.096.766.880,LinkedIn Learning,1.405.378.256.962.310,31.456.157.592.835.700,"0,00%"
157,Course_157,Finance,25,4082,8.233.926.838.096.760,LinkedIn Learning,12.465.376.623.874.100,30.436.509.599.032.600,"0,00%"
158,Course_158,Technology,92,909,776.030.081.419.835,Udemy,16.763.810.224.535.100,3.318.445.603.470.460,"0,00%"
159,Course_159,Programming,100,4019,6.431.777.361.332.750,Coursera,9.934.477.817.853.330,32.902.781.828.569.100,"0,00%"
160,Course_160,Office Tools,33,4786,7.799.901.803.361.860,LinkedIn Learning,52.377.338.773.251.000,3.485.582.323.841,"0,00%"
161,Course_161,Marketing,64,1077,6.892.149.742.171.930,Udemy,17.019.057.622.731.600,4.644.956.949.638.660,"0,00%"
162,Course_162,Marketing,97,959,8.490.286.069.911.730,Udemy,14.370.826.064.047.700,3.960.290.386.971.120,"0,00%"
163,Course_163,Marketing,58,2621,5.556.842.528.449.880,LinkedIn Learning,9.513.332.905.383.270,3.538.807.838.264.500,"0,00%"
164,Course_164,Office Tools,99,2774,736.644.648.393.861,edX,11.544.220.849.799.900,4.746.572.180.323.050,"0,00%"
165,Course_165,Programming,26,3747,782.984.164.209.153,Coursera,15.902.113.090.265.000,3.268.442.124.556.680,"0,00%"
166,Course_166,Data Science,18,1315,6.814.014.680.459.330,edX,10.461.462.379.429.900,4.961.689.406.055.310,"0,00%"
167,Course_167,Finance,79,340,9.926.131.158.776.250,edX,17.428.350.701.289.000,4.635.320.212.988.620,"0,00%"
168,Course_168,Data Science,32,3920,9.844.710.245.906.120,edX,8.449.511.634.702.390,32.974.153.065.961.700,"0,00%"
169,Course_169,Programming,37,276,63.084.654.044.117.200,Coursera,11.876.557.180.262.600,37.566.240.660.381.000,"0,00%"
170,Course_170,Technology,70,4337,8.049.867.863.467.330,LinkedIn Learning,8.602.560.961.009.370,3.567.852.500.366.630,"0,00%"
171,Course_171,Office Tools,18,4946,9.939.915.585.954.520,Coursera,6.444.892.710.661.560,4.571.401.413.394.580,"0,00%"
172,Course_172,Marketing,38,2276,8.859.503.466.290.050,Udemy,11.312.335.618.051.600,4.914.965.870.158.260,"0,00%"
173,Course_173,Finance,34,1936,5.452.948.788.859.210,LinkedIn Learning,3.346.362.856.123.910,3.611.759.041.645.120,"0,00%"
174,Course_174,Technology,75,1851,8.583.845.969.896.340,edX,15.743.580.480.548.500,33.789.513.882.646.400,"0,00%"
175,Course_175,Design,11,105,5.429.570.153.371.100,Coursera,6.627.086.283.194.670,497.269.474.037.256,"0,00%"
176,Course_176,Programming,92,1407,6.539.749.195.354.400,edX,1.350.098.950.410.020,4.695.211.905.676.570,"0,00%"
177,Course_177,Finance,40,1057,9.139.707.884.538.530,Coursera,18.821.005.248.107.300,3.573.089.333.198.710,"0,00%"
178,Course_178,Office Tools,29,342,63.092.180.888.099.000,Udemy,14.949.525.386.775.100,39.925.339.109.303.300,"0,00%"
179,Course_179,Office Tools,36,2475,60.153.967.180.933.900,edX,11.061.410.154.209.900,34.316.311.829.211.000,"0,00%"
180,Course_180,Finance,36,386,6.440.591.306.943.380,LinkedIn Learning,1.399.745.412.961.090,49.213.220.159.135.700,"0,00%"
181,Course_181,AI,13,319,8.563.609.249.156.820,Udemy,12.310.539.628.212.700,32.009.122.335.142.700,"0,00%"
182,Course_182,AI,84,190,7.579.308.420.574.450,edX,11.770.873.157.970.400,32.070.669.457.207.900,"0,00%"
183,Course_183,Technology,97,1316,6.884.449.861.480.890,edX,27.981.659.267.073.000,4.440.969.304.840.750,"0,00%"
184,Course_184,Programming,90,1042,9.155.183.577.494.860,Udemy,10.618.508.734.739.200,3.659.445.099.797.270,"0,00%"
185,Course_185,Design,80,4442,724.818.791.286.712,edX,18.350.493.380.320.600,34.221.795.410.591.000,"0,00%"
186,Course_186,Programming,30,1226,6.301.944.931.041.340,Coursera,15.815.417.577.577.500,4.748.391.316.413.290,"0,00%"
187,Course_187,Finance,10,2041,63.570.670.299.349,Coursera,6.294.403.915.666.910,34.371.815.458.889.800,"0,00%"
188,Course_188,Finance,94,2555,61.788.347.400.168.900,edX,13.645.784.452.417.000,32.671.190.594.259.900,"0,00%"
189,Course_189,Technology,68,1169,7.522.121.384.619.150,Coursera,1.675.265.470.046.250,4.951.038.297.911.110,"0,00%"
190,Course_190,Finance,65,1670,8.361.029.777.992.740,LinkedIn Learning,13.091.266.075.236.700,4.754.091.504.970.580,"0,00%"
191,Course_191,Business,40,1002,5.508.141.744.175.700,LinkedIn Learning,6.884.212.772.156.760,48.660.392.342.497.500,"0,00%"
192,Course_192,Data Science,51,3402,6.658.025.118.654.990,Udemy,1.145.676.029.350.480,4.898.723.477.245.980,"0,00%"
193,Course_193,Data Science,77,4980,9.261.649.903.230.110,Udemy,17.947.262.123.787.900,3.313.109.595.189.310,"0,00%"
194,Course_194,Business,71,1024,8.901.969.663.847.320,LinkedIn Learning,9.244.039.798.880.030,4.898.215.342.183.620,"0,00%"
195,Course_195,Data Science,85,4724,5.883.547.947.566.850,edX,19.816.829.685.592.100,38.657.757.068.956.200,"0,00%"
196,Course_196,Programming,90,4369,6.425.586.183.738.770,Udemy,8.923.271.713.324.670,462.790.434.382.109,"0,00%"
197,Course_197,Technology,98,3198,8.352.885.850.232.570,LinkedIn Learning,19.657.100.604.220.200,4.542.302.047.277.820,"0,00%"
198,Course_198,AI,63,1049,6.546.466.237.466.490,edX,8.246.449.317.252.280,3.684.117.089.183.980,"0,00%"
199,Course_199,Data Science,61,875,8.521.350.245.993.700,edX,1.402.183.768.152.320,4.656.912.975.290.640,"0,00%"
200,Course_200,Technology,33,1737,7.919.329.150.742.540,Udemy,13.649.162.530.683.300,44.599.418.016.668.000,"0,00%"
201,Course_201,Business,43,1825,9.187.596.275.225.830,Udemy,3.790.918.395.152.330,41.027.371.595.380.800,"0,00%"
202,Course_202,Finance,36,3408,7.814.041.562.112.490,Coursera,1.822.592.032.411.680,300.397.099.720.961,"0,00%"
203,Course_203,Technology,39,2539,9.762.541.883.287.380,Udemy,12.541.977.345.350.000,4.158.303.138.495.810,"0,00%"
204,Course_204,Finance,85,2532,6.856.176.297.967.010,LinkedIn Learning,4.795.646.833.679.990,3.145.853.690.687.670,"0,00%"
205,Course_205,Design,12,4873,6.564.929.622.032.450,Udemy,4.859.617.222.462.100,431.409.976.400.894,"0,00%"
206,Course_206,Finance,72,338,9.758.014.993.749.350,edX,7.454.743.217.276.830,3.087.963.009.049.520,"0,00%"
207,Course_207,Programming,83,3962,9.491.414.978.742.120,edX,12.723.234.456.867.000,35.802.061.125.805.400,"0,00%"
208,Course_208,Finance,49,3337,5.964.831.835.912.310,edX,3.563.605.008.907.110,4.312.663.066.154.050,"0,00%"
209,Course_209,Marketing,15,2101,9.661.625.217.493.700,Udemy,13.357.085.742.863.000,4.272.722.132.890.300,"0,00%"
210,Course_210,Office Tools,40,3193,8.990.363.368.149.200,LinkedIn Learning,12.205.514.517.462.200,3.715.968.176.937.520,"0,00%"
211,Course_211,Finance,35,1419,929.958.024.068.586,Udemy,30.002.469.938.629.600,34.966.481.711.796.500,"0,00%"
212,Course_212,Technology,62,979,69.556.409.233.647,Coursera,6.457.650.188.479.030,4.800.398.103.822.670,"0,00%"
213,Course_213,AI,60,2851,7.397.491.085.060.270,LinkedIn Learning,19.007.425.378.565.300,41.937.534.863.140.800,"0,00%"
214,Course_214,Design,27,2938,898.786.821.859.457,LinkedIn Learning,17.501.079.904.645.100,37.619.944.159.099.900,"0,00%"
215,Course_215,Data Science,45,2775,9.754.423.606.307.750,edX,16.210.714.948.615.800,4.159.169.872.522.510,"0,00%"
