course_id,course_name,category,duration,enrolled_students,platform,price,completion_rate_clean,rating_clean
28,Course_28,Data Science,12,3613,Coursera,905.638.989.973.893,5.306,4.5
29,Course_29,Marketing,95,4489,edX,15.910.918.969.364.300,56.861,3.5
30,Course_30,Design,60,2855,Udemy,11.526.479.652.101.000,6.469,4.6
31,Course_31,Marketing,47,2913,edX,11.362.108.734.523.700,9.175,3.5
32,Course_32,Design,26,4502,LinkedIn Learning,14.484.705.940.587.200,7.964,4.0
33,Course_33,Technology,52,2241,LinkedIn Learning,6.253.261.867.058.300,6.333,4.6
34,Course_34,Business,14,974,edX,6.679.180.201.167.600,6.132,4.7
35,Course_35,Programming,15,1025,LinkedIn Learning,17.167.945.927.377.900,7.497,3.8
36,Course_36,Office Tools,66,3603,Coursera,1.613.441.399.074.510,8.638,3.2
37,Course_37,Programming,16,2179,edX,15.873.985.576.616.500,7.808,3.6
38,Course_38,Finance,41,178,Udemy,1.530.854.345.943.390,8.05,4.7
39,Course_39,AI,38,3989,Udemy,2.608.560.803.800.650,6.64,4.9
40,Course_40,Design,19,2883,Udemy,11.905.294.676.970.500,5.563,3.1
41,Course_41,Marketing,88,2840,Udemy,36.012.941.335.039.300,7.883,3.2
42,Course_42,Technology,74,3265,Udemy,413.289.332.748.605,5.299,4.7
43,Course_43,Technology,57,1736,Udemy,13.005.091.381.846.600,5.049,3.7
44,Course_44,Data Science,75,2331,Coursera,17.290.070.266.727.800,6.538,4.5
45,Course_45,Office Tools,98,3821,Udemy,11.792.771.163.931.200,6.994,4.7
46,Course_46,Office Tools,22,2887,LinkedIn Learning,14.064.165.871.567.800,5.787,3.1
47,Course_47,Business,97,2772,edX,192.025.062.017.246,5.056,4.5
48,Course_48,AI,73,3820,Coursera,14.956.050.114.703.700,7.741,4.4
49,Course_49,AI,36,3756,LinkedIn Learning,10.618.458.407.777.100,7.248,4.5
50,Course_50,Programming,40,3089,Udemy,743.645.528.195.237,5.207,3.8
51,Course_51,Design,50,2360,Udemy,18.716.046.173.636.400,9.028,4.8
52,Course_52,AI,50,1440,LinkedIn Learning,3.462.950.131.669.930,9.233,3.4
53,Course_53,Technology,39,693,edX,3.739.828.555.613.470,7.885,3.4
54,Course_54,Programming,59,2172,Udemy,5.863.620.102.833.180,7.81,4.3
55,Course_55,Marketing,71,3016,Udemy,12.001.321.956.784.000,6.99,3.1
56,Course_56,Finance,55,3208,Udemy,1.765.106.664.790.950,6.209,3.0
57,Course_57,AI,15,317,LinkedIn Learning,5.157.318.853.526.430,6.818,4.5
58,Course_58,Finance,19,913,Coursera,19.312.089.535.816.600,8.756,4.1
59,Course_59,Office Tools,27,4472,Coursera,1.310.414.690.344.310,9.909,4.9
60,Course_60,Programming,42,779,LinkedIn Learning,14.759.900.956.281.300,5.312,4.4
61,Course_61,Data Science,27,304,Udemy,13.272.638.033.725.600,6.431,4.1
62,Course_62,Office Tools,51,572,edX,6.608.651.922.374.470,5.828,3.2
63,Course_63,AI,54,2328,Coursera,12.425.958.702.212.500,57.155,3.0
65,Course_65,Technology,45,4801,Coursera,22.414.205.177.021.300,5.473,3.1
66,Course_66,Data Science,14,1853,Udemy,196.955.892.674.005,5.677,3.0
68,Course_68,Business,56,899,edX,743.334.595.724.686,7.204,4.8
69,Course_69,Office Tools,14,3252,Udemy,11.295.327.342.019.900,6.749,4.1
70,Course_70,Technology,19,4683,Udemy,19.847.397.366.071.900,7.461,3.0
71,Course_71,Programming,41,1280,Udemy,5.221.828.638.725.430,9.124,3.5
72,Course_72,AI,39,1893,LinkedIn Learning,11.488.595.578.771.600,8.943,4.5
73,Course_73,Office Tools,27,3265,Udemy,11.852.800.513.478.600,7.374,3.0
74,Course_74,Office Tools,23,3617,Udemy,161.534.686.156.695,9.517,4.6
75,Course_75,Business,62,2638,LinkedIn Learning,16.745.296.714.257.600,5.377,3.1
76,Course_76,Business,87,2878,LinkedIn Learning,16.146.405.053.011.800,7.893,3.6
77,Course_77,Marketing,32,815,Coursera,1.840.420.407.739.760,9.564,3.2
78,Course_78,Business,74,3650,edX,9.123.483.710.423.220,51.242,3.7
79,Course_79,Office Tools,26,955,LinkedIn Learning,7.150.689.392.555.900,9.292,3.1
80,Course_80,Business,27,426,LinkedIn Learning,49.684.226.362.801,8.311,4.2
81,Course_81,Office Tools,42,3324,Udemy,30.301.925.423.937.900,5.616,4.8
82,Course_82,AI,84,2244,Coursera,15.166.341.960.871.600,5.121,3.1
83,Course_83,Office Tools,15,2588,LinkedIn Learning,6.544.758.432.684.250,9.579,4.5
84,Course_84,Technology,28,4011,LinkedIn Learning,1.954.840.965.544.450,5.338,3.2
85,Course_85,Technology,95,2161,LinkedIn Learning,1.476.769.770.411.260,9.101,3.7
86,Course_86,Technology,61,3161,edX,40.305.978.430.430.000,58.914,3.3
87,Course_87,Marketing,53,197,LinkedIn Learning,12.944.945.232.832.300,6.7,3.8
88,Course_88,Data Science,67,2896,edX,10.742.428.432.947.500,7.509,3.4
89,Course_89,Design,65,935,LinkedIn Learning,13.427.931.392.343.100,53.416,3.4
90,Course_90,Data Science,42,3372,Coursera,4.109.502.688.237.790,5.635,3.4
92,Course_92,Office Tools,63,141,Udemy,4.850.749.427.184.320,5.57,4.2
93,Course_93,Finance,14,4684,Coursera,18.693.014.527.327.000,6.912,4.2
94,Course_94,Technology,79,2778,Udemy,19.969.123.723.445.100,7.54,3.6
95,Course_95,Technology,67,1458,edX,1.612.504.069.176.670,9.309,4.4
96,Course_96,Programming,42,3052,Coursera,16.183.985.350.317.600,5.295,3.2
97,Course_97,Business,57,4616,LinkedIn Learning,14.047.254.043.615.100,6.261,3.5
98,Course_98,Design,49,2299,Coursera,4.596.751.996.129.690,8.831,3.1
99,Course_99,Design,54,4170,edX,19.318.524.319.281.600,5.134,4.0
100,Course_100,Marketing,22,4607,Coursera,16.678.032.577.375.500,5.133,4.1
101,Course_101,Design,21,259,Udemy,9.932.185.685.346.830,5.662,4.6
102,Course_102,AI,77,861,Coursera,1.454.357.940.491.780,8.321,3.0
103,Course_103,Programming,25,121,LinkedIn Learning,13.114.582.756.418.300,9.354,3.3
105,Course_105,Data Science,47,690,edX,4.422.552.402.575.690,7.147,4.6
107,Course_107,Programming,77,1574,LinkedIn Learning,9.371.306.219.285.120,9.564,4.9
108,Course_108,Design,48,4524,Udemy,1.792.380.733.542.840,8.222,4.4
109,Course_109,Technology,66,3572,LinkedIn Learning,567.155.880.059.053,9.182,4.4
113,Course_113,Marketing,40,4146,edX,14.793.882.440.451.200,5.273,3.5
114,Course_114,Finance,45,2044,Coursera,19.603.566.730.181.300,8.326,4.9
116,Course_116,AI,48,3947,Coursera,4.567.403.425.129.790,9.074,3.2
117,Course_117,Technology,98,185,LinkedIn Learning,7.751.620.906.047.810,9.849,4.7
118,Course_118,Programming,95,2338,LinkedIn Learning,1.665.038.081.497.360,6.321,4.9
119,Course_119,Technology,51,682,Udemy,5.006.485.857.685.160,64.601,3.0
120,Course_120,Office Tools,51,3854,Coursera,1.719.066.717.968.280,53.172,4.8
122,Course_122,Office Tools,23,2587,Udemy,14.653.805.399.249.200,7.388,4.0
123,Course_123,Data Science,73,3293,Coursera,5.293.608.095.989.110,9.332,3.0
124,Course_124,Business,93,2492,edX,18.727.063.575.543.500,9.876,4.7
125,Course_125,Office Tools,72,3288,Coursera,1.358.054.933.889.450,7.675,4.2
127,Course_127,Programming,34,4720,Udemy,58.205.993.136.636.100,7.759,4.4
128,Course_128,Programming,28,3699,Udemy,1.899.778.561.125.000,7.748,4.5
129,Course_129,Office Tools,14,1769,Coursera,3.659.181.349.354.400,9.771,3.1
130,Course_130,Office Tools,24,4708,Udemy,11.164.111.588.787.000,6.573,4.7
131,Course_131,Business,29,932,edX,6.891.111.899.850.840,5.514,4.6
132,Course_132,Marketing,63,1184,edX,15.588.248.490.546.600,60.994,4.2
134,Course_134,Finance,86,1418,Coursera,15.699.809.796.017.500,7.004,3.8
135,Course_135,Marketing,21,2963,LinkedIn Learning,1.840.299.691.318.520,6.171,4.4
136,Course_136,Technology,98,2718,LinkedIn Learning,39.888.611.729.840.200,8.103,3.5
137,Course_137,Business,86,540,Coursera,11.543.202.796.950.900,60.598,4.3
138,Course_138,AI,13,118,LinkedIn Learning,1.738.272.375.590.250,6.656,3.4
139,Course_139,Business,83,497,LinkedIn Learning,15.183.830.280.262.900,6.469,4.3
140,Course_140,AI,54,3873,Udemy,4.889.951.908.413.920,6.756,4.1
141,Course_141,Design,94,3599,Udemy,7.828.145.975.200.280,9.728,4.4
142,Course_142,Office Tools,94,2987,Udemy,6.959.067.443.708.380,7.109,4.6
144,Course_144,Finance,42,4539,LinkedIn Learning,27.475.583.986.948.600,5.16,3.3
145,Course_145,Programming,19,4832,edX,3.296.876.480.806.860,5.81,4.6
146,Course_146,Design,27,3361,edX,192.844.317.217.836,8.861,4.2
148,Course_148,Finance,37,734,Udemy,12.629.476.580.880.100,95.347,4.7
149,Course_149,Finance,68,3540,edX,19.031.437.004.784.100,58.594,4.2
150,Course_150,Technology,76,2521,Udemy,13.558.324.850.977.800,6.39,3.4
151,Course_151,Business,79,226,edX,11.369.937.506.896.900,7.137,4.4
153,Course_153,AI,51,231,Udemy,10.218.100.102.913.500,8.807,3.4
154,Course_154,Design,83,1418,edX,13.915.357.805.693.300,8.252,4.8
155,Course_155,Business,77,4134,Coursera,1.424.713.849.139.520,7.478,4.4
156,Course_156,Technology,48,3695,LinkedIn Learning,1.405.378.256.962.310,8.888,3.1
157,Course_157,Finance,25,4082,LinkedIn Learning,12.465.376.623.874.100,8.233,3.0
159,Course_159,Programming,100,4019,Coursera,9.934.477.817.853.330,6.431,3.2
160,Course_160,Office Tools,33,4786,LinkedIn Learning,52.377.338.773.251.000,7.799,3.4
161,Course_161,Marketing,64,1077,Udemy,17.019.057.622.731.600,6.892,4.6
162,Course_162,Marketing,97,959,Udemy,14.370.826.064.047.700,8.49,3.9
163,Course_163,Marketing,58,2621,LinkedIn Learning,9.513.332.905.383.270,5.556,3.5
166,Course_166,Data Science,18,1315,edX,10.461.462.379.429.900,6.814,4.9
167,Course_167,Finance,79,340,edX,17.428.350.701.289.000,9.926,4.6
168,Course_168,Data Science,32,3920,edX,8.449.511.634.702.390,9.844,3.2
169,Course_169,Programming,37,276,Coursera,11.876.557.180.262.600,63.084,3.7
170,Course_170,Technology,70,4337,LinkedIn Learning,8.602.560.961.009.370,8.049,3.5
171,Course_171,Office Tools,18,4946,Coursera,6.444.892.710.661.560,9.939,4.5
172,Course_172,Marketing,38,2276,Udemy,11.312.335.618.051.600,8.859,4.9
173,Course_173,Finance,34,1936,LinkedIn Learning,3.346.362.856.123.910,5.452,3.6
174,Course_174,Technology,75,1851,edX,15.743.580.480.548.500,8.583,3.3
175,Course_175,Design,11,105,Coursera,6.627.086.283.194.670,5.429,4.9
176,Course_176,Programming,92,1407,edX,1.350.098.950.410.020,6.539,4.6
177,Course_177,Finance,40,1057,Coursera,18.821.005.248.107.300,9.139,3.5
178,Course_178,Office Tools,29,342,Udemy,14.949.525.386.775.100,63.092,3.9
179,Course_179,Office Tools,36,2475,edX,11.061.410.154.209.900,60.153,3.4
180,Course_180,Finance,36,386,LinkedIn Learning,1.399.745.412.961.090,6.44,4.9
181,Course_181,AI,13,319,Udemy,12.310.539.628.212.700,8.563,3.2
182,Course_182,AI,84,190,edX,11.770.873.157.970.400,7.579,3.2
183,Course_183,Technology,97,1316,edX,27.981.659.267.073.000,6.884,4.4
184,Course_184,Programming,90,1042,Udemy,10.618.508.734.739.200,9.155,3.6
186,Course_186,Programming,30,1226,Coursera,15.815.417.577.577.500,6.301,4.7
187,Course_187,Finance,10,2041,Coursera,6.294.403.915.666.910,63.57,3.4
188,Course_188,Finance,94,2555,edX,13.645.784.452.417.000,61.788,3.2
189,Course_189,Technology,68,1169,Coursera,1.675.265.470.046.250,7.522,4.9
190,Course_190,Finance,65,1670,LinkedIn Learning,13.091.266.075.236.700,8.361,4.7
191,Course_191,Business,40,1002,LinkedIn Learning,6.884.212.772.156.760,5.508,4.8
192,Course_192,Data Science,51,3402,Udemy,1.145.676.029.350.480,6.658,4.8
193,Course_193,Data Science,77,4980,Udemy,17.947.262.123.787.900,9.261,3.3
194,Course_194,Business,71,1024,LinkedIn Learning,9.244.039.798.880.030,8.901,4.8
195,Course_195,Data Science,85,4724,edX,19.816.829.685.592.100,5.883,3.8
196,Course_196,Programming,90,4369,Udemy,8.923.271.713.324.670,6.425,4.6
197,Course_197,Technology,98,3198,LinkedIn Learning,19.657.100.604.220.200,8.352,4.5
198,Course_198,AI,63,1049,edX,8.246.449.317.252.280,6.546,3.6
199,Course_199,Data Science,61,875,edX,1.402.183.768.152.320,8.521,4.6
200,Course_200,Technology,33,1737,Udemy,13.649.162.530.683.300,7.919,4.4
201,Course_201,Business,43,1825,Udemy,3.790.918.395.152.330,9.187,4.1
202,Course_202,Finance,36,3408,Coursera,1.822.592.032.411.680,7.814,3.0
203,Course_203,Technology,39,2539,Udemy,12.541.977.345.350.000,9.762,4.1
204,Course_204,Finance,85,2532,LinkedIn Learning,4.795.646.833.679.990,6.856,3.1
205,Course_205,Design,12,4873,Udemy,4.859.617.222.462.100,6.564,4.3
206,Course_206,Finance,72,338,edX,7.454.743.217.276.830,9.758,3.0
207,Course_207,Programming,83,3962,edX,12.723.234.456.867.000,9.491,3.5
208,Course_208,Finance,49,3337,edX,3.563.605.008.907.110,5.964,4.3
209,Course_209,Marketing,15,2101,Udemy,13.357.085.742.863.000,9.661,4.2
210,Course_210,Office Tools,40,3193,LinkedIn Learning,12.205.514.517.462.200,8.99,3.7
212,Course_212,Technology,62,979,Coursera,6.457.650.188.479.030,69.556,4.8
213,Course_213,AI,60,2851,LinkedIn Learning,19.007.425.378.565.300,7.397,4.1
215,Course_215,Data Science,45,2775,edX,16.210.714.948.615.800,9.754,4.1
216,Course_216,Design,90,2143,edX,19.635.072.736.548.500,9.431,4.1
218,Course_218,Marketing,35,1180,LinkedIn Learning,6.347.283.840.726.600,7.47,4.1
221,Course_221,Data Science,21,1578,Coursera,752.545.160.121.922,9.656,4.4
222,Course_222,Design,60,1758,edX,6.814.490.513.996.730,8.576,4.2
223,Course_223,Design,49,1047,Udemy,10.954.574.826.163.300,8.776,3.0
224,Course_224,Programming,52,3448,Coursera,4.670.857.602.136.160,7.939,3.5
227,Course_227,Finance,69,3648,Udemy,50.270.787.894.673.300,8.144,4.7
228,Course_228,Marketing,49,1993,Udemy,18.875.848.270.878.700,9.252,4.1
229,Course_229,Finance,88,4481,Coursera,17.021.467.738.305.100,7.037,3.7
230,Course_230,Finance,35,929,Udemy,14.178.994.749.128.700,7.326,4.7
231,Course_231,Business,10,1574,LinkedIn Learning,24.397.378.230.246.400,5.715,3.0
232,Course_232,Design,39,2019,Coursera,11.870.365.665.145.600,9.714,4.4
233,Course_233,Technology,67,457,LinkedIn Learning,28.174.968.681.765.700,6.575,3.1
234,Course_234,Marketing,36,343,Coursera,1.285.763.625.579.720,7.51,4.8
235,Course_235,Finance,87,420,edX,6.801.926.700.255.040,7.387,3.7
236,Course_236,Technology,69,1722,Coursera,5.925.043.315.049.940,9.555,4.3
237,Course_237,Design,20,1279,edX,8.684.750.849.163.460,8.477,4.4
238,Course_238,Technology,100,2781,Udemy,12.738.607.268.012.000,9.019,3.6
239,Course_239,Programming,98,1321,edX,16.711.947.715.677.400,9.776,3.2
240,Course_240,Programming,83,1159,edX,18.907.144.142.310.100,6.781,3.8
241,Course_241,Business,29,2739,Udemy,19.334.549.487.319.000,60.648,3.8
243,Course_243,Programming,37,302,edX,1.968.890.948.542.670,5.602,4.2
244,Course_244,Technology,59,2748,Udemy,7.786.969.612.281.650,9.251,4.0
246,Course_246,Technology,36,2713,edX,10.119.252.291.726.400,6.034,3.3
247,Course_247,Design,61,1375,edX,7.339.742.227.121.330,8.451,3.2
248,Course_248,Data Science,36,248,Coursera,1.838.515.679.518.320,8.166,4.6
249,Course_249,Data Science,21,2758,LinkedIn Learning,5.945.168.283.636.450,9.27,3.6
250,Course_250,Data Science,41,4862,Udemy,15.769.168.286.714.700,5.509,3.0
251,Course_251,Marketing,68,1427,edX,1.014.750.348.882.940,9.581,3.9
252,Course_252,Business,97,4358,Coursera,5.817.137.108.563.260,9.421,4.1
254,Course_254,Technology,76,119,Coursera,17.536.310.135.099.500,6.417,4.2
255,Course_255,Business,94,1604,Coursera,1.087.224.151.490.840,55.139,4.7
256,Course_256,Programming,77,3044,Udemy,11.237.526.721.563.300,5.018,3.9
257,Course_257,Data Science,53,3793,Coursera,61.125.686.593.774.800,9.765,3.1
258,Course_258,Design,62,1326,edX,6.278.236.676.787.600,9.613,3.1
259,Course_259,Programming,21,388,edX,8.314.081.282.079.010,5.074,3.3
260,Course_260,Finance,42,4054,Udemy,11.974.512.014.182.600,7.008,3.7
261,Course_261,Office Tools,83,2660,LinkedIn Learning,8.561.936.982.508.830,57.661,3.8
263,Course_263,Office Tools,79,3294,Udemy,1.891.490.324.253.150,6.91,3.7
264,Course_264,Data Science,35,3410,edX,18.393.948.436.780.600,8.631,3.8
266,Course_266,Design,91,4473,Coursera,10.067.049.715.056.800,59.179,3.2
267,Course_267,Design,100,2943,Udemy,16.554.697.276.997.700,6.263,4.3
268,Course_268,Office Tools,55,143,Coursera,1.894.621.156.351.320,8.377,4.5
269,Course_269,Programming,17,3238,Coursera,3.719.100.804.653.970,6.467,3.3
270,Course_270,Business,24,3757,Coursera,14.690.053.438.866.600,8.758,3.5
271,Course_271,Technology,21,4298,Udemy,17.629.895.353.304.200,58.359,4.9
272,Course_272,Office Tools,93,1165,LinkedIn Learning,1.991.979.760.747.980,5.809,4.8
273,Course_273,Data Science,94,1884,edX,19.577.831.869.019.200,9.27,4.9
274,Course_274,Finance,85,2105,Coursera,7.993.507.330.542.420,9.291,3.2
275,Course_275,Programming,67,2739,Udemy,1.211.337.341.698.420,6.603,3.2
276,Course_276,Office Tools,53,4828,edX,12.461.259.932.118.600,5.864,4.0
277,Course_277,Design,37,2506,Udemy,14.639.609.641.247.200,7.751,3.3
278,Course_278,Design,91,4995,edX,7.476.935.458.325.270,7.036,3.0
279,Course_279,Business,19,3860,Coursera,1.971.730.012.177.840,8.127,3.6
280,Course_280,Technology,29,2559,edX,17.146.002.661.385.300,63.784,3.8
281,Course_281,AI,45,3541,Udemy,189.391.309.085.095,61.41,3.8
282,Course_282,Data Science,49,197,Udemy,15.852.949.590.777.000,6.199,3.0
283,Course_283,Business,97,792,Udemy,18.991.592.842.325.300,7.358,3.3
284,Course_284,Office Tools,22,4289,Coursera,12.365.073.614.599.500,50.182,4.5
285,Course_285,Data Science,97,324,Coursera,5.633.078.631.751.030,6.039,3.8
286,Course_286,Data Science,98,3497,Udemy,19.400.036.253.332.000,53.807,3.4
287,Course_287,Finance,93,2716,edX,19.590.620.369.399.900,9.953,4.9
288,Course_288,Programming,98,396,edX,10.370.568.059.811.700,8.349,3.1
289,Course_289,AI,93,2131,Coursera,17.583.421.924.430.000,7.314,3.8
290,Course_290,Marketing,31,2406,edX,16.880.263.801.930.600,7.995,4.7
291,Course_291,Data Science,28,384,Udemy,28.157.697.185.166.300,6.236,4.0
293,Course_293,Office Tools,79,4685,Coursera,1.299.543.896.022.780,62.536,3.3
294,Course_294,Data Science,14,1922,edX,7.173.503.895.914.770,8.599,3.8
296,Course_296,Marketing,55,4619,LinkedIn Learning,19.037.963.382.041.300,6.791,3.7
297,Course_297,AI,85,3552,LinkedIn Learning,8.335.760.888.499.560,7.177,4.0
298,Course_298,Data Science,29,504,edX,11.208.810.017.291.300,7.278,3.1
300,Course_300,Programming,10,264,LinkedIn Learning,7.956.748.342.433.840,6.569,4.6
302,Course_302,Design,77,2588,Coursera,18.284.114.972.263.900,8.084,3.6
303,Course_303,Technology,90,1203,Udemy,16.340.035.743.249.600,7.73,4.1
304,Course_304,Marketing,39,664,Coursera,28.394.019.883.178.900,8.033,4.2
305,Course_305,Office Tools,36,1950,LinkedIn Learning,4.916.526.524.789.640,7.575,4.8
306,Course_306,Design,44,4089,LinkedIn Learning,12.394.812.169.200.300,8.753,4.4
307,Course_307,Marketing,85,607,LinkedIn Learning,1.255.892.191.295.370,7.654,4.0
308,Course_308,Technology,91,4224,Coursera,6.612.925.329.019.090,8.444,4.1
309,Course_309,Business,84,4181,edX,15.780.470.468.765.800,56.53,4.0
310,Course_310,Technology,15,828,Udemy,1.826.573.695.662.900,57.329,3.1
312,Course_312,Programming,30,2507,Coursera,17.139.869.721.629.700,7.99,4.3
313,Course_313,Programming,99,3426,Udemy,15.202.725.319.928.300,5.234,3.2
314,Course_314,Business,16,3167,edX,17.659.758.581.837.100,8.633,3.7
315,Course_315,Business,53,2770,LinkedIn Learning,380.803.783.224.688,8.565,4.4
316,Course_316,Technology,46,3582,Udemy,11.720.899.630.746.600,60.484,4.6
317,Course_317,AI,18,2750,LinkedIn Learning,15.201.967.698.971.800,9.719,3.7
318,Course_318,Technology,89,3600,LinkedIn Learning,128.052.887.792.616,9.626,4.7
319,Course_319,Data Science,17,3248,Udemy,9.277.214.100.938.600,9.451,4.9
320,Course_320,Marketing,87,4148,Coursera,6.848.622.700.752.180,8.6,4.5
321,Course_321,Business,53,4100,edX,5.244.124.146.432.860,8.712,4.8
324,Course_324,Data Science,68,4401,edX,12.283.342.324.985.400,58.748,3.4
325,Course_325,Finance,100,3861,Udemy,55.056.783.708.964.400,5.445,4.7
327,Course_327,AI,57,307,edX,17.088.913.680.928.200,6.887,4.1
328,Course_328,Marketing,33,4238,LinkedIn Learning,4.220.268.027.968.700,5.413,3.2
329,Course_329,Marketing,82,1144,Coursera,145.710.267.993.298,52.495,4.2
330,Course_330,Office Tools,97,2034,Coursera,1.336.864.334.927.100,51.545,4.6
331,Course_331,Office Tools,65,1605,LinkedIn Learning,12.101.252.600.150.600,8.787,3.3
332,Course_332,Data Science,27,4341,edX,1.272.359.676.890.690,7.832,3.7
333,Course_333,Office Tools,100,1834,Coursera,11.375.840.611.186.900,5.385,3.2
334,Course_334,Business,41,4461,Udemy,4.785.570.824.645.030,7.595,3.0
335,Course_335,Technology,25,522,Udemy,4.894.594.652.095.150,5.861,3.3
336,Course_336,Business,98,1331,LinkedIn Learning,15.060.320.166.229.600,9.201,4.4
337,Course_337,Business,87,1559,LinkedIn Learning,16.366.607.568.079.700,5.92,3.1
339,Course_339,Technology,48,2523,LinkedIn Learning,1.390.649.366.429.460,8.98,4.7
340,Course_340,AI,36,2454,Udemy,1.526.697.821.214.440,9.999,3.9
341,Course_341,Marketing,51,4276,LinkedIn Learning,12.941.744.518.651.400,52.232,3.3
342,Course_342,Office Tools,15,4092,edX,12.874.615.743.274.900,56.042,3.1
343,Course_343,Finance,70,891,edX,12.684.548.112.234.600,7.99,3.1
344,Course_344,Technology,15,3588,Coursera,7.432.064.585.380.680,58.071,3.6
345,Course_345,Finance,83,813,LinkedIn Learning,1.445.501.328.015.260,52.225,3.7
346,Course_346,Design,45,3224,Coursera,9.624.066.854.485.460,9.913,3.0
347,Course_347,Marketing,68,2661,Coursera,1.729.120.238.602.220,9.887,4.1
348,Course_348,Technology,16,419,Coursera,10.244.713.636.451.200,8.97,3.0
349,Course_349,Design,71,406,edX,16.504.038.077.923.700,7.992,4.1
350,Course_350,Data Science,58,892,Coursera,14.375.554.082.081.700,9.34,4.8
351,Course_351,Technology,78,4072,LinkedIn Learning,10.220.283.442.957.800,6.764,4.6
352,Course_352,Design,26,3889,Coursera,18.824.447.972.901.700,7.299,4.5
353,Course_353,Data Science,81,4331,Udemy,1.827.913.607.039.160,7.658,4.9
354,Course_354,Programming,40,3781,Udemy,1.379.872.529.350.910,8.705,3.9
355,Course_355,Finance,10,4653,edX,30.920.875.834.230.300,8.46,3.5
356,Course_356,Finance,60,1510,LinkedIn Learning,39.210.389.544.759.200,7.137,3.7
357,Course_357,Programming,36,1717,Coursera,22.346.164.137.295.800,9.903,4.1
359,Course_359,AI,68,1531,Udemy,17.324.692.878.720.400,8.835,3.0
360,Course_360,Design,10,654,edX,6.898.398.024.963.090,5.384,3.3
361,Course_361,Data Science,32,134,LinkedIn Learning,9.828.903.292.162.630,8.501,4.3
362,Course_362,Office Tools,12,1692,Udemy,1.420.132.591.089.690,6.83,4.8
363,Course_363,Office Tools,99,655,edX,4.388.510.156.599.540,6.524,3.3
364,Course_364,Finance,48,4676,Coursera,30.183.541.841.158.500,8.928,4.3
365,Course_365,Business,96,1597,edX,1.718.063.575.303.360,8.924,3.7
366,Course_366,Office Tools,53,3862,LinkedIn Learning,7.144.380.380.248.570,5.995,3.2
367,Course_367,Business,71,3847,LinkedIn Learning,6.764.696.704.399.370,5.308,4.5
368,Course_368,Finance,69,2952,Udemy,16.763.085.609.046.300,8.329,3.4
369,Course_369,Business,55,1374,LinkedIn Learning,15.806.187.613.258.100,8.227,3.9
370,Course_370,AI,42,1878,Udemy,9.416.927.457.849.320,5.12,3.7
372,Course_372,Programming,90,4734,Coursera,14.399.149.395.922.900,9.567,4.5
373,Course_373,Technology,47,1562,LinkedIn Learning,3.209.941.705.878.820,7.979,4.7
374,Course_374,Marketing,60,2350,edX,11.217.583.537.909.800,7.721,3.9
375,Course_375,Finance,32,1291,edX,3.959.040.394.914.260,7.739,3.4
376,Course_376,Design,80,436,edX,7.148.418.054.409.210,8.321,3.7
377,Course_377,Business,80,2608,LinkedIn Learning,1.485.051.634.479.490,7.004,3.6
